Navn; calories; proteins; carbs; fat; type;
typer: frugt og grønt=fg, fjerkræ, kød, fisk, snack, drikke, krydderi, nød, bær, korn, brød og mejeri=bm

Grapefrugt, rå;44;0.9;7;0.3;fg
Hvilling, rå;78;18.2;0;0.6;fisk
Havreklid, dansk;367;18.5;49.6;7;korn
Gulerod, dansk, rå;38;0.8;6.1;0.4;fg
Mandarin, rå;47;0.8;8.3;0;fg
Aborre, rå;77;16.4;0;1.3;fisk
Torsk, filet, kogt;75;17.6;0;0.6;fisk
Havkat, rå;97;16.1;0;2.7;fisk
Flødeis;206;4;25.1;10;snack
Hjerte, kalv, råt;106;14.9;1.8;3.7;kød
Hvide bønner, tørrede, rå;322;21.3;43.9;2.7;fg
Nyre, okse, rå;106;15.6;0.9;2.8;kød
Brosme, rå;79;19;0;0.3;fisk
Torsk, filet, røget, med skind;79;19;0;0.3;fisk
Kaktusfigen, rå;39;0.7;6;0.5;fg
Kinakål, pe-tsai, rå;17;1.3;2;0.2;fg
Nyre, gris, rå;98;16;1.1;3;kød
Sperling, kød, rå;79;17.6;0;1;kød
Tørkage, mazariner;477;6.3;48.6;27.9;snack
Figen, rå;77;0.8;16.3;0.3;fg
Stjernefrugt, rå;33;1;5.2;0.3;fg
Pighvarre, rå;90;16.4;0;1.4;fisk
Kuller, rå;77;17.9;0;0.6;fisk
Leverpostej, fedtreduceret;151;10;12.4;6.7;kød
Skrubbe, rå;86;17.9;0;1.6;fisk
Salat, endivie, bredbladet (escarole), rå;14;1.3;0.3;0.2;fg
Lyssej, rå;71;17.4;0;0.2;fisk
Skærekage, mazarinkage;493;5.7;46.7;31.2;snack
Kaviar, uægte (stenbiderrogn);106;12.9;0.8;5.7;fisk
Pizza napolitana, dybfrost;181;8.6;21.9;6.1;snack
Salat, egeløv, rå;15;1.4;1.5;0.1;fg
Gule ærter (flækærter), rå;347;22;41.8;2.1;fg
Kakifrugt (Sharon), rå;87;0.7;17.5;0.3;fg
Lange, filet, rå;80;19.5;0;0.2;fisk
Søtunge, rå;85;18.7;0;1.1;fisk
Tomat, flået, konserves;21;1.2;3;0.3;fg
Kødboller, uspec.;145;8.8;6;9.5;kød
Fiskefrikadelle;155;13.7;9.8;6.7;fisk
Salat, endivie, kruset (frisee), rå;18;1.3;2.4;0.2;fg
Salat, Romaine, romersk, rå;18;1.2;1.7;0;fg
Sandart, rå;87;19.2;0.5;0.7;fisk
Kartoffelmos, pulver uden tørmælk;350;8.2;70.6;0.5;fg
Rødfisk, rå;84;18.9;0;0.9;fisk
Forårsrulle, friturestegt, fastfood;203;6.1;21.4;9.8;snack
Gulerod, importeret, rå;39;1;6.1;0.4;fg
Torsk, lever, røget;624;5.1;1;66.6;fisk
Torsk, lever, rå;624;5.1;1;66.6;fisk
Fersken, rå;49;0.7;7.8;0.4;fg
Nektarin, rå;42;0.8;7.8;0;fg
Gedde, rå;90;19;0;1.2;fisk
Dressing, olie-eddike, kalorielet;47;0.3;8.9;1.1;krydderi
Melboller, uspec.;184;5.4;12.8;11.6;bm
Squash, alle typer, rå;17;1.7;1.4;0.2;fg
Hvedebrød, groft, kærnebrød;231;7.6;40.3;2.6;bm
Avocado, rå;172;1.9;0.5;13.1;fg
Hvedeklid;291;16;24.8;5.3;korn
Læskedrik, koncentreret (1+5), tilsat sukker, uspec.;252;0;63;0;drikke
Rødbede, konserves;60;1;11.9;0.3;fg
Brune linser, tørrede, rå;336;25.1;48.9;2;fg
Tomat, importeret, rå;33;1.1;3.2;0.4;fg
Hummer, kogt;90;18.7;0.3;1.5;fisk
Hummer, konserves;90;18.7;0.3;1.5;fisk
Salat, hovedsalat, rå;14;1.3;2.1;0.4;fg
Margarine, 70 %, bordbrug, blød, vegetabilsk fedt;681;0.8;0;70.6;bm
Rødkål, konserves;75;1;16.3;0.2;fg
Litchi, lichiblomme, kinesisk blomme, rå;71;0.8;15.2;0.4;fg
Pizza, dybfrost, uspec.;190;8.9;23.8;6.1;snack
Granatæble, rå;74;0.9;16.6;0.3;fg
Guavabær, rå;42;0.9;6.3;0.5;bær
Havkat, plettet, rå;107;16;0;4.8;fisk
Musling, konserves;103;17;0;3;fisk
Ananaskirsebær, rå;51;1.9;7.2;0.7;bær
Rygeost, 10 % fedt;130;8.5;2.8;9.1;bm
Brasen, rå;108;16.7;0;4;fisk
Hjerte, okse, råt;103;17.7;0.7;3.1;kød
Hjerte, gris, råt;103;16.1;0.4;4.3;kød
Rugbrød med fedtrige frø og kerner, industrifremstillet;214;6.1;33.3;4.3;bm
Valnød, tørret;707;16.6;2.8;64.6;nød
Asparges, konserves;16;1.6;1.2;0.1;fg
Hvidløg, tørret, pulver;345;16.8;62.7;0.8;krydderi
Pizza med broccoli, dybfrost;194;8.7;23.6;6.7;snack
